state,year,period,value,footnotes
Alabama,2016,M12,5.9,Reflects revised population controls and model reestimation.
Alabama,2016,M11,5.7,Reflects revised population controls and model reestimation.
Alabama,2016,M10,6.2,Reflects revised population controls and model reestimation.
Alabama,2016,M09,6.2,Reflects revised population controls and model reestimation.
Alabama,2016,M08,6.2,Reflects revised population controls and model reestimation.
Alabama,2016,M07,6.1,Reflects revised population controls and model reestimation.
Alabama,2016,M06,6.3,Reflects revised population controls and model reestimation.
Alabama,2016,M05,5.4,Reflects revised population controls and model reestimation.
Alabama,2016,M04,5.3,Reflects revised population controls and model reestimation.
Alabama,2016,M03,6.0,Reflects revised population controls and model reestimation.
Alabama,2016,M02,6.3,Reflects revised population controls and model reestimation.
Alabama,2016,M01,6.3,Reflects revised population controls and model reestimation.
Alabama,2015,M12,5.9,Reflects revised population controls and model reestimation.
Alabama,2015,M11,5.7,Reflects revised population controls and model reestimation.
Alabama,2015,M10,5.9,Reflects revised population controls and model reestimation.
Alabama,2015,M09,5.9,Reflects revised population controls and model reestimation.
Alabama,2015,M08,6.5,Reflects revised population controls and model reestimation.
Alabama,2015,M07,6.6,Reflects revised population controls and model reestimation.
Alabama,2015,M06,6.7,Reflects revised population controls and model reestimation.
Alabama,2015,M05,6.1,Reflects revised population controls and model reestimation.
Alabama,2015,M04,5.5,Reflects revised population controls and model reestimation.
Alabama,2015,M03,5.9,Reflects revised population controls and model reestimation.
Alabama,2015,M02,6.2,Reflects revised population controls and model reestimation.
Alabama,2015,M01,6.4,Reflects revised population controls and model reestimation.
Alabama,2014,M12,5.7,Reflects revised population controls and model reestimation.
Alabama,2014,M11,5.8,Reflects revised population controls and model reestimation.
Alabama,2014,M10,6.0,Reflects revised population controls and model reestimation.
Alabama,2014,M09,6.3,Reflects revised population controls and model reestimation.
Alabama,2014,M08,7.1,Reflects revised population controls and model reestimation.
Alabama,2014,M07,7.5,Reflects revised population controls and model reestimation.
Alabama,2014,M06,7.4,Reflects revised population controls and model reestimation.
Alabama,2014,M05,6.6,Reflects revised population controls and model reestimation.
Alabama,2014,M04,6.2,Reflects revised population controls and model reestimation.
Alabama,2014,M03,7.5,Reflects revised population controls and model reestimation.
Alabama,2014,M02,7.9,Reflects revised population controls and model reestimation.
Alabama,2014,M01,7.5,Reflects revised population controls and model reestimation.
Alabama,2013,M12,6.7,Reflects revised population controls and model reestimation.
Alabama,2013,M11,6.7,Reflects revised population controls and model reestimation.
Alabama,2013,M10,7.0,Reflects revised population controls and model reestimation.
Alabama,2013,M09,7.2,Reflects revised population controls and model reestimation.
Alabama,2013,M08,7.5,Reflects revised population controls and model reestimation.
Alabama,2013,M07,7.6,Reflects revised population controls and model reestimation.
Alabama,2013,M06,7.7,Reflects revised population controls and model reestimation.
Alabama,2013,M05,6.7,Reflects revised population controls and model reestimation.
Alabama,2013,M04,6.3,Reflects revised population controls and model reestimation.
Alabama,2013,M03,7.1,Reflects revised population controls and model reestimation.
Alabama,2013,M02,8.0,Reflects revised population controls and model reestimation.
Alabama,2013,M01,8.2,Reflects revised population controls and model reestimation.
Alabama,2012,M12,7.2,Reflects revised population controls and model reestimation.
Alabama,2012,M11,6.9,Reflects revised population controls and model reestimation.
Alabama,2012,M10,7.5,Reflects revised population controls and model reestimation.
Alabama,2012,M09,7.6,Reflects revised population controls and model reestimation.
Alabama,2012,M08,8.5,Reflects revised population controls and model reestimation.
Alabama,2012,M07,9.0,Reflects revised population controls and model reestimation.
Alabama,2012,M06,9.0,Reflects revised population controls and model reestimation.
Alabama,2012,M05,7.8,Reflects revised population controls and model reestimation.
Alabama,2012,M04,7.2,Reflects revised population controls and model reestimation.
Alabama,2012,M03,7.9,Reflects revised population controls and model reestimation.
Alabama,2012,M02,8.4,Reflects revised population controls and model reestimation.
Alabama,2012,M01,8.3,Reflects revised population controls and model reestimation.
Alabama,2011,M12,7.9,
Alabama,2011,M11,8.0,
Alabama,2011,M10,8.9,
Alabama,2011,M09,9.5,
Alabama,2011,M08,10.0,
Alabama,2011,M07,10.4,
Alabama,2011,M06,10.6,
Alabama,2011,M05,9.6,
Alabama,2011,M04,9.4,
Alabama,2011,M03,9.9,
Alabama,2011,M02,10.5,
Alabama,2011,M01,11.0,
Alabama,2010,M12,9.8,
Alabama,2010,M11,10.0,
Alabama,2010,M10,9.9,
Alabama,2010,M09,9.8,
Alabama,2010,M08,10.1,
Alabama,2010,M07,10.2,
Alabama,2010,M06,10.5,
Alabama,2010,M05,9.9,
Alabama,2010,M04,10.4,
Alabama,2010,M03,11.5,
Alabama,2010,M02,12.1,
Alabama,2010,M01,12.3,
Alabama,2009,M12,11.4,
Alabama,2009,M11,11.1,
Alabama,2009,M10,11.7,
Alabama,2009,M09,11.5,
Alabama,2009,M08,11.9,
Alabama,2009,M07,11.8,
Alabama,2009,M06,11.9,
Alabama,2009,M05,10.6,
Alabama,2009,M04,9.9,
Alabama,2009,M03,10.4,
Alabama,2009,M02,10.5,
Alabama,2009,M01,9.7,
Alabama,2008,M12,7.6,
Alabama,2008,M11,6.7,
Alabama,2008,M10,6.3,
Alabama,2008,M09,5.9,
Alabama,2008,M08,6.2,
Alabama,2008,M07,6.0,
Alabama,2008,M06,5.9,
Alabama,2008,M05,4.9,
Alabama,2008,M04,4.0,
Alabama,2008,M03,4.7,
Alabama,2008,M02,4.9,
Alabama,2008,M01,4.8,
Alabama,2007,M12,4.3,
Alabama,2007,M11,3.9,
Alabama,2007,M10,3.8,
Alabama,2007,M09,4.0,
Alabama,2007,M08,4.3,
Alabama,2007,M07,4.4,
Alabama,2007,M06,4.2,
Alabama,2007,M05,3.3,
Alabama,2007,M04,3.3,
Alabama,2007,M03,3.8,
Alabama,2007,M02,4.2,
Alabama,2007,M01,4.3,
Alabama,2006,M12,3.7,
Alabama,2006,M11,3.7,
Alabama,2006,M10,3.6,
Alabama,2006,M09,3.9,
Alabama,2006,M08,4.4,
Alabama,2006,M07,4.6,
Alabama,2006,M06,4.6,
Alabama,2006,M05,3.6,
Alabama,2006,M04,3.5,
Alabama,2006,M03,3.9,
Alabama,2006,M02,4.5,
Alabama,2006,M01,4.4,
Alabama,2005,M12,3.9,
Alabama,2005,M11,4.0,
Alabama,2005,M10,4.2,
Alabama,2005,M09,4.3,
Alabama,2005,M08,4.5,
Alabama,2005,M07,4.7,
Alabama,2005,M06,5.0,
Alabama,2005,M05,4.0,
Alabama,2005,M04,3.9,
Alabama,2005,M03,4.6,
Alabama,2005,M02,5.4,
Alabama,2005,M01,5.4,
Alabama,2004,M12,4.9,
Alabama,2004,M11,5.2,
Alabama,2004,M10,5.5,
Alabama,2004,M09,5.6,
Alabama,2004,M08,5.9,
Alabama,2004,M07,6.0,
Alabama,2004,M06,6.1,
Alabama,2004,M05,5.4,
Alabama,2004,M04,5.2,
Alabama,2004,M03,5.9,
Alabama,2004,M02,6.1,
Alabama,2004,M01,6.4,
Alabama,2003,M12,5.7,
Alabama,2003,M11,6.1,
Alabama,2003,M10,6.1,
Alabama,2003,M09,6.0,
Alabama,2003,M08,6.4,
Alabama,2003,M07,6.3,
Alabama,2003,M06,6.9,
Alabama,2003,M05,5.6,
Alabama,2003,M04,5.3,
Alabama,2003,M03,5.6,
Alabama,2003,M02,6.0,
Alabama,2003,M01,6.2,
Alabama,2002,M12,5.7,
Alabama,2002,M11,5.8,
