rgdpw60,rgdpw85,gdpgrowth,popgrowth,i_y
2485.0,4371.0,4.8,2.6,24.1
959.0,3671.0,8.6,3.2,28.3
889.0,2190.0,5.7,2.1,12.8
533.0,608.0,2.8,2.3,5.4
1386.0,1704.0,5.1,4.3,12.4
944.0,1329.0,4.8,3.4,17.4
1194.0,975.0,1.4,2.2,7.1
455.0,823.0,4.8,2.4,13.2
737.0,710.0,2.1,2.2,7.3
1030.0,2348.0,5.8,2.5,8.3
1055.0,1186.0,2.8,2.4,12.0
1392.0,1450.0,2.5,2.3,9.6
4768.0,7064.0,3.9,2.3,21.6
383.0,710.0,5.3,2.9,18.0
1623.0,3661.0,5.6,2.4,13.8
1410.0,1217.0,2.1,2.7,31.7
1187.0,2107.0,5.1,2.8,21.1
846.0,1221.0,4.0,2.6,6.8
517.0,1031.0,4.5,1.7,11.4
3085.0,13372.0,8.9,3.0,19.9
978.0,1339.0,3.6,2.4,16.8
4802.0,10450.0,5.9,2.8,28.5
3493.0,13893.0,6.8,1.2,36.0
2183.0,4312.0,5.4,2.7,17.6
1285.0,4775.0,7.9,2.7,22.3
2154.0,5788.0,7.1,3.2,23.2
1077.0,2175.0,5.8,3.0,12.2
1668.0,2430.0,4.5,3.0,14.9
2793.0,14678.0,9.2,2.6,32.2
1794.0,2482.0,3.7,2.4,14.8
2382.0,6042.0,6.7,3.0,15.9
1308.0,3220.0,6.7,3.1,18.0
5939.0,13327.0,3.6,0.4,23.4
6789.0,14290.0,3.5,0.5,23.4
8551.0,16491.0,3.2,0.6,26.6
6527.0,13779.0,3.7,0.7,36.9
7215.0,15027.0,3.9,1.0,26.2
7695.0,15297.0,3.3,0.5,28.5
2257.0,6868.0,5.1,0.7,29.3
4411.0,8675.0,3.8,1.1,25.9
4913.0,11082.0,3.8,0.6,24.9
7689.0,13177.0,3.6,1.4,25.8
7938.0,19723.0,4.3,0.7,29.1
2272.0,5827.0,4.4,0.6,22.5
3766.0,9903.0,4.9,1.0,17.7
7802.0,15237.0,3.1,0.4,24.5
10308.0,15881.0,2.5,0.8,29.7
2274.0,4444.0,5.2,2.5,20.2
7634.0,13331.0,2.5,0.3,18.4
10286.0,17935.0,4.2,2.0,23.3
3360.0,4492.0,4.7,3.5,14.7
1939.0,3308.0,5.1,2.9,17.1
2042.0,1997.0,3.3,3.3,8.0
2481.0,3034.0,3.9,3.1,8.8
1096.0,1237.0,1.8,1.3,7.1
1430.0,1822.0,4.0,3.1,13.8
2726.0,3080.0,2.1,1.6,20.6
4229.0,7380.0,5.5,3.3,19.5
3195.0,3978.0,4.1,3.3,14.5
2423.0,5021.0,5.9,3.0,26.1
9253.0,11285.0,2.7,1.9,20.4
12362.0,18988.0,3.2,1.5,21.1
4852.0,5533.0,2.1,1.5,25.3
1618.0,2055.0,3.3,2.4,13.3
1842.0,5563.0,7.3,2.9,23.2
5189.0,5533.0,2.6,2.3,29.7
2672.0,4405.0,5.0,3.0,18.0
2198.0,4504.0,5.7,2.8,24.4
1951.0,3914.0,5.5,2.7,11.7
3310.0,3775.0,3.5,2.9,12.0
5119.0,5495.0,0.9,0.6,11.8
10367.0,6336.0,1.9,3.8,11.4
8440.0,13409.0,3.8,2.0,31.5
879.0,2159.0,5.5,1.9,13.9
9523.0,12308.0,2.7,1.7,22.5
