rgdpw60,rgdpw85,gdpgrowth,popgrowth,i_y
3493.0,13893.0,6.8,1.2,36.0
5939.0,13327.0,3.6,0.4,23.4
6789.0,14290.0,3.5,0.5,23.4
8551.0,16491.0,3.2,0.6,26.6
6527.0,13779.0,3.7,0.7,36.9
7215.0,15027.0,3.9,1.0,26.2
7695.0,15297.0,3.3,0.5,28.5
2257.0,6868.0,5.1,0.7,29.3
4411.0,8675.0,3.8,1.1,25.9
4913.0,11082.0,3.8,0.6,24.9
7689.0,13177.0,3.6,1.4,25.8
7938.0,19723.0,4.3,0.7,29.1
2272.0,5827.0,4.4,0.6,22.5
3766.0,9903.0,4.9,1.0,17.7
7802.0,15237.0,3.1,0.4,24.5
10308.0,15881.0,2.5,0.8,29.7
2274.0,4444.0,5.2,2.5,20.2
7634.0,13331.0,2.5,0.3,18.4
10286.0,17935.0,4.2,2.0,23.3
12362.0,18988.0,3.2,1.5,21.1
8440.0,13409.0,3.8,2.0,31.5
9523.0,12308.0,2.7,1.7,22.5
