number,country,n,i,o,rgdpw60,rgdpw85,gdpgrowth,popgrowth,i_y,school
1,Algeria,1,1,0,2485.0,4371.0,4.8,2.6,24.1,4.5
2,Angola,1,0,0,1588.0,1171.0,0.8,2.1,5.8,1.8
3,Benin,1,0,0,1116.0,1071.0,2.2,2.4,10.8,1.8
4,Botswana,1,1,0,959.0,3671.0,8.6,3.2,28.3,2.9
5,Burkina Faso,1,0,0,529.0,857.0,2.9,0.9,12.7,0.4
6,Burundi,1,0,0,755.0,663.0,1.2,1.7,5.1,0.4
7,Cameroon,1,1,0,889.0,2190.0,5.7,2.1,12.8,3.4
8,Central Afr. Rep.,1,0,0,838.0,789.0,1.5,1.7,10.5,1.4
9,Chad,1,0,0,908.0,462.0,-0.9,1.9,6.9,0.4
10,"Congo,",1,0,0,1009.0,2624.0,6.2,2.4,28.8,3.8
11,Egypt,1,0,0,907.0,2160.0,6.0,2.5,16.3,7.0
12,Ethiopia,1,1,0,533.0,608.0,2.8,2.3,5.4,1.1
13,Gabon,0,0,0,1307.0,5350.0,7.0,1.4,22.1,2.6
14,"Gambia, The",0,0,0,799.0,,3.6,,18.1,1.5
15,Ghana,1,0,0,1009.0,727.0,1.0,2.3,9.1,4.7
16,Guinea,0,0,0,746.0,869.0,2.2,1.6,10.9,
17,Ivory Coast,1,1,0,1386.0,1704.0,5.1,4.3,12.4,2.3
18,Kenya,1,1,0,944.0,1329.0,4.8,3.4,17.4,2.4
19,Lesotho,0,0,0,431.0,1483.0,6.8,1.9,12.6,2.0
20,Liberia,1,0,0,863.0,944.0,3.3,3.0,21.5,2.5
21,Madagascar,1,1,0,1194.0,975.0,1.4,2.2,7.1,2.6
22,Malawi,1,1,0,455.0,823.0,4.8,2.4,13.2,0.6
23,Mali,1,1,0,737.0,710.0,2.1,2.2,7.3,1.0
24,Mauritania,1,0,0,777.0,1038.0,3.3,2.2,25.6,1.0
25,Mauritius,1,0,0,1973.0,2967.0,4.2,2.6,17.1,7.3
26,Morocco,1,1,0,1030.0,2348.0,5.8,2.5,8.3,3.6
27,Mozambique,1,0,0,1420.0,1035.0,1.4,2.7,6.1,0.7
28,Niger,1,0,0,539.0,841.0,4.4,2.6,10.3,0.5
29,Nigeria,1,1,0,1055.0,1186.0,2.8,2.4,12.0,2.3
30,Rwanda,1,0,0,460.0,696.0,4.5,2.8,7.9,0.4
31,Senegal,1,1,0,1392.0,1450.0,2.5,2.3,9.6,1.7
32,Sierra Leone,1,0,0,511.0,805.0,3.4,1.6,10.9,1.7
33,Somalia,1,0,0,901.0,657.0,1.8,3.1,13.8,1.1
34,S. Africa,1,1,0,4768.0,7064.0,3.9,2.3,21.6,3.0
35,Sudan,1,0,0,1254.0,1038.0,1.8,2.6,13.2,2.0
36,Swaziland,0,0,0,817.0,,7.2,,17.7,3.7
37,Tanzania,1,1,0,383.0,710.0,5.3,2.9,18.0,0.5
38,Togo,1,0,0,777.0,978.0,3.4,2.5,15.5,2.9
39,Tunisia,1,1,0,1623.0,3661.0,5.6,2.4,13.8,4.3
40,Uganda,1,0,0,601.0,667.0,3.5,3.1,4.1,1.1
41,Zaire,1,0,0,594.0,412.0,0.9,2.4,6.5,3.6
42,Zambia,1,1,0,1410.0,1217.0,2.1,2.7,31.7,2.4
43,Zimbabwe,1,1,0,1187.0,2107.0,5.1,2.8,21.1,4.4
44,Afghanistan,0,0,0,1224.0,,1.6,,6.9,0.9
45,Bahrain,0,0,0,,,,,30.0,12.1
46,Bangladesh,1,1,0,846.0,1221.0,4.0,2.6,6.8,3.2
47,Burma,1,1,0,517.0,1031.0,4.5,1.7,11.4,3.5
48,Hong Kong,1,1,0,3085.0,13372.0,8.9,3.0,19.9,7.2
49,India,1,1,0,978.0,1339.0,3.6,2.4,16.8,5.1
50,Iran,0,0,0,3606.0,7400.0,6.3,3.4,18.4,6.5
51,Iraq,0,0,0,4916.0,5626.0,3.8,3.2,16.2,7.4
52,Israel,1,1,0,4802.0,10450.0,5.9,2.8,28.5,9.5
53,Japan,1,1,1,3493.0,13893.0,6.8,1.2,36.0,10.9
54,Jordan,1,1,0,2183.0,4312.0,5.4,2.7,17.6,10.8
55,"Korea, South",1,1,0,1285.0,4775.0,7.9,2.7,22.3,10.2
56,Kuwait,0,0,0,77881.0,25635.0,2.4,6.8,9.5,9.6
57,Malaysia,1,1,0,2154.0,5788.0,7.1,3.2,23.2,7.3
58,Nepal,1,0,0,833.0,974.0,2.6,2.0,5.9,2.3
59,Oman,0,0,0,,15584.0,,3.3,15.6,2.7
60,Pakistan,1,1,0,1077.0,2175.0,5.8,3.0,12.2,3.0
61,Philippines,1,1,0,1668.0,2430.0,4.5,3.0,14.9,10.6
62,Saudi Arabia,0,0,0,6731.0,11057.0,6.1,4.1,12.8,3.1
63,Singapore,1,1,0,2793.0,14678.0,9.2,2.6,32.2,9.0
64,Sri Lanka,1,1,0,1794.0,2482.0,3.7,2.4,14.8,8.3
65,Syria,1,1,0,2382.0,6042.0,6.7,3.0,15.9,8.8
66,Taiwan,0,0,0,,,8.0,,20.7,
67,Thailand,1,1,0,1308.0,3220.0,6.7,3.1,18.0,4.4
68,U.A.E.,0,0,0,,18513.0,,,26.5,
