state,year,month,value
Alabama,2010,M12,9.8
Alabama,2010,M11,10.0
Alabama,2010,M10,9.9
Alabama,2010,M09,9.8
Alabama,2010,M08,10.1
Alabama,2010,M07,10.2
Alabama,2010,M06,10.5
Alabama,2010,M05,9.9
Alabama,2010,M04,10.4
Alabama,2010,M03,11.5
Alabama,2010,M02,12.1
Alabama,2010,M01,12.3
Alabama,2009,M12,11.4
Alabama,2009,M11,11.1
Alabama,2009,M10,11.7
Alabama,2009,M09,11.5
Alabama,2009,M08,11.9
Alabama,2009,M07,11.8
Alabama,2009,M06,11.9
Alabama,2009,M05,10.6
Alabama,2009,M04,9.9
Alabama,2009,M03,10.4
Alabama,2009,M02,10.5
Alabama,2009,M01,9.7
Alabama,2008,M12,7.6
Alabama,2008,M11,6.7
Alabama,2008,M10,6.3
Alabama,2008,M09,5.9
Alabama,2008,M08,6.2
Alabama,2008,M07,6.0
Alabama,2008,M06,5.9
Alabama,2008,M05,4.9
Alabama,2008,M04,4.0
Alabama,2008,M03,4.7
Alabama,2008,M02,4.9
Alabama,2008,M01,4.8
Alabama,2007,M12,4.3
Alabama,2007,M11,3.9
Alabama,2007,M10,3.8
Alabama,2007,M09,4.0
Alabama,2007,M08,4.3
Alabama,2007,M07,4.4
Alabama,2007,M06,4.2
Alabama,2007,M05,3.3
Alabama,2007,M04,3.3
Alabama,2007,M03,3.8
Alabama,2007,M02,4.2
Alabama,2007,M01,4.3
