state,year,period,value,footnotes
Mississippi,2016,M12,73153,Reflects revised population controls and model reestimation.
Mississippi,2016,M11,64314,Reflects revised population controls and model reestimation.
Mississippi,2016,M10,73056,Reflects revised population controls and model reestimation.
Mississippi,2016,M09,72753,Reflects revised population controls and model reestimation.
Mississippi,2016,M08,71743,Reflects revised population controls and model reestimation.
Mississippi,2016,M07,82624,Reflects revised population controls and model reestimation.
Mississippi,2016,M06,87736,Reflects revised population controls and model reestimation.
Mississippi,2016,M05,75602,Reflects revised population controls and model reestimation.
Mississippi,2016,M04,65405,Reflects revised population controls and model reestimation.
Mississippi,2016,M03,71300,Reflects revised population controls and model reestimation.
Mississippi,2016,M02,75774,Reflects revised population controls and model reestimation.
Mississippi,2016,M01,82377,Reflects revised population controls and model reestimation.
Mississippi,2015,M12,84622,Reflects revised population controls and model reestimation.
Mississippi,2015,M11,75592,Reflects revised population controls and model reestimation.
Mississippi,2015,M10,76935,Reflects revised population controls and model reestimation.
Mississippi,2015,M09,76338,Reflects revised population controls and model reestimation.
Mississippi,2015,M08,75153,Reflects revised population controls and model reestimation.
Mississippi,2015,M07,88486,Reflects revised population controls and model reestimation.
Mississippi,2015,M06,92123,Reflects revised population controls and model reestimation.
Mississippi,2015,M05,86318,Reflects revised population controls and model reestimation.
Mississippi,2015,M04,71326,Reflects revised population controls and model reestimation.
Mississippi,2015,M03,76128,Reflects revised population controls and model reestimation.
Mississippi,2015,M02,81403,Reflects revised population controls and model reestimation.
Mississippi,2015,M01,91668,Reflects revised population controls and model reestimation.
Mississippi,2014,M12,85085,Reflects revised population controls and model reestimation.
Mississippi,2014,M11,80040,Reflects revised population controls and model reestimation.
Mississippi,2014,M10,85741,Reflects revised population controls and model reestimation.
Mississippi,2014,M09,87373,Reflects revised population controls and model reestimation.
Mississippi,2014,M08,91339,Reflects revised population controls and model reestimation.
Mississippi,2014,M07,105328,Reflects revised population controls and model reestimation.
Mississippi,2014,M06,105565,Reflects revised population controls and model reestimation.
Mississippi,2014,M05,98278,Reflects revised population controls and model reestimation.
Mississippi,2014,M04,83461,Reflects revised population controls and model reestimation.
Mississippi,2014,M03,97212,Reflects revised population controls and model reestimation.
Mississippi,2014,M02,101008,Reflects revised population controls and model reestimation.
Mississippi,2014,M01,108317,Reflects revised population controls and model reestimation.
Mississippi,2013,M12,97082,Reflects revised population controls and model reestimation.
Mississippi,2013,M11,94744,Reflects revised population controls and model reestimation.
Mississippi,2013,M10,104778,Reflects revised population controls and model reestimation.
Mississippi,2013,M09,103707,Reflects revised population controls and model reestimation.
Mississippi,2013,M08,104070,Reflects revised population controls and model reestimation.
Mississippi,2013,M07,115847,Reflects revised population controls and model reestimation.
Mississippi,2013,M06,123122,Reflects revised population controls and model reestimation.
Mississippi,2013,M05,113380,Reflects revised population controls and model reestimation.
Mississippi,2013,M04,100356,Reflects revised population controls and model reestimation.
Mississippi,2013,M03,107180,Reflects revised population controls and model reestimation.
Mississippi,2013,M02,117107,Reflects revised population controls and model reestimation.
Mississippi,2013,M01,129105,Reflects revised population controls and model reestimation.
Mississippi,2012,M12,115837,Reflects revised population controls and model reestimation.
Mississippi,2012,M11,103568,Reflects revised population controls and model reestimation.
Mississippi,2012,M10,115775,Reflects revised population controls and model reestimation.
Mississippi,2012,M09,114405,Reflects revised population controls and model reestimation.
Mississippi,2012,M08,117335,Reflects revised population controls and model reestimation.
Mississippi,2012,M07,131342,Reflects revised population controls and model reestimation.
Mississippi,2012,M06,131361,Reflects revised population controls and model reestimation.
Mississippi,2012,M05,118634,Reflects revised population controls and model reestimation.
Mississippi,2012,M04,104902,Reflects revised population controls and model reestimation.
Mississippi,2012,M03,112431,Reflects revised population controls and model reestimation.
Mississippi,2012,M02,122702,Reflects revised population controls and model reestimation.
Mississippi,2012,M01,131791,Reflects revised population controls and model reestimation.
Mississippi,2011,M12,125815,
Mississippi,2011,M11,121039,
Mississippi,2011,M10,132384,
Mississippi,2011,M09,132354,
Mississippi,2011,M08,131074,
Mississippi,2011,M07,144142,
Mississippi,2011,M06,148187,
Mississippi,2011,M05,137080,
Mississippi,2011,M04,124968,
Mississippi,2011,M03,131410,
Mississippi,2011,M02,139934,
Mississippi,2011,M01,140342,
Mississippi,2010,M12,139813,
Mississippi,2010,M11,132044,
Mississippi,2010,M10,130843,
Mississippi,2010,M09,131491,
Mississippi,2010,M08,127494,
Mississippi,2010,M07,145933,
Mississippi,2010,M06,140280,
Mississippi,2010,M05,131358,
Mississippi,2010,M04,124204,
Mississippi,2010,M03,135423,
Mississippi,2010,M02,142200,
Mississippi,2010,M01,147665,
Mississippi,2009,M12,135679,
Mississippi,2009,M11,121823,
Mississippi,2009,M10,125705,
Mississippi,2009,M09,122485,
Mississippi,2009,M08,118496,
Mississippi,2009,M07,127132,
Mississippi,2009,M06,127016,
Mississippi,2009,M05,119682,
Mississippi,2009,M04,108045,
Mississippi,2009,M03,111668,
Mississippi,2009,M02,114198,
Mississippi,2009,M01,111537,
Mississippi,2008,M12,98955,
Mississippi,2008,M11,82683,
Mississippi,2008,M10,88697,
Mississippi,2008,M09,89270,
Mississippi,2008,M08,86724,
Mississippi,2008,M07,98605,
Mississippi,2008,M06,94221,
Mississippi,2008,M05,84969,
Mississippi,2008,M04,66712,
Mississippi,2008,M03,75569,
Mississippi,2008,M02,78004,
Mississippi,2008,M01,84966,
Mississippi,2007,M12,81587,
Mississippi,2007,M11,69801,
Mississippi,2007,M10,75212,
Mississippi,2007,M09,77108,
Mississippi,2007,M08,72619,
Mississippi,2007,M07,88155,
Mississippi,2007,M06,87490,
Mississippi,2007,M05,77413,
Mississippi,2007,M04,72694,
Mississippi,2007,M03,77243,
Mississippi,2007,M02,85850,
Mississippi,2007,M01,88289,
Mississippi,2006,M12,82625,
Mississippi,2006,M11,77083,
