state,year,period,ue_rate,ue_qty,lf_qty,em_qty
Montana,2001,M07,3.9,18546,474722,456176
California,2001,M01,5.3,899642,17079464,16179822
Oklahoma,2002,M10,4.6,78188,1689763,1611575
West Virginia,2004,M10,4.4,34710,785334,750624
New Jersey,2002,M05,5.6,244357,4335712,4091355
Texas,2001,M03,4.3,454943,10507490,10052547
Tennessee,2002,M01,6.6,189890,2872341,2682451
Missouri,2011,M12,7.3,219990,3021310,2801320
New York,2001,M07,4.6,424779,9252570,8827791
New Hampshire,2011,M05,5.1,37647,731113,693466
North Carolina,2011,M12,9.7,446758,4620368,4173610
Hawaii,2004,M03,3.6,22038,607202,585164
Nebraska,2009,M05,4.6,46128,995930,949802
New Jersey,2008,M10,5.5,247607,4513199,4265592
North Carolina,2013,M05,8.1,383987,4720818,4336831
New York,2013,M08,7.6,738313,9700699,8962386
South Carolina,2002,M02,6.1,116756,1919284,1802528
Mississippi,2014,M05,7.9,98278,1248718,1150440
Virginia,2005,M08,3.5,139150,3938270,3799120
Mississippi,2011,M01,10.5,140342,1331623,1191281
Connecticut,2015,M08,5.7,108988,1903643,1794655
Missouri,2000,M11,3.6,105656,2974159,2868503
Virginia,2003,M07,4.3,164871,3793360,3628489
Montana,2014,M02,5.8,29457,508901,479444
South Carolina,2016,M09,4.7,108274,2301557,2193283
Vermont,2005,M11,3.2,11411,353197,341786
South Dakota,2002,M11,3.0,12749,418927,406178
North Dakota,2002,M02,4.4,14721,335925,321204
Mississippi,2008,M11,6.4,82683,1288658,1205975
Illinois,2006,M09,4.0,263053,6547180,6284127
New Jersey,2009,M11,9.3,420968,4533942,4112974
Wyoming,2000,M05,3.6,9465,264756,255291
Minnesota,2012,M09,5.0,147817,2948263,2800446
Utah,2005,M10,3.7,47762,1293114,1245352
West Virginia,2013,M07,6.5,52042,806468,754426
Maine,2009,M06,8.1,56998,706248,649250
Georgia,2001,M12,4.7,200563,4295746,4095183
Oklahoma,2011,M07,5.9,104928,1776168,1671240
Nevada,2006,M10,3.8,49411,1303213,1253802
Arizona,2004,M01,5.5,152827,2767352,2614525
Kansas,2007,M10,4.1,60457,1489512,1429055
Pennsylvania,2014,M07,6.5,421989,6497757,6075768
Alabama,2002,M03,6.0,125906,2100861,1974955
New Hampshire,2014,M01,5.2,38348,739485,701137
Maryland,2013,M11,6.1,188644,3115040,2926396
South Carolina,2002,M07,5.7,113287,1974165,1860878
Delaware,2002,M06,4.4,18319,420530,402211
Utah,2003,M11,5.0,60482,1212678,1152196
Indiana,2002,M06,5.4,171944,3203655,3031711
Georgia,2008,M02,5.3,256239,4879900,4623661
New Jersey,2008,M11,5.8,260027,4508499,4248472
Massachusetts,2001,M11,4.0,136597,3394161,3257564
Arizona,2011,M03,9.3,281253,3036772,2755519
New Hampshire,2012,M02,6.1,44557,736080,691523
South Carolina,2005,M06,6.9,144673,2089338,1944665
Georgia,2008,M04,5.0,247179,4904644,4657465
Maine,2010,M06,7.9,55233,702880,647647
Arizona,2014,M09,6.8,212741,3118725,2905984
Missouri,2001,M07,4.5,134979,3023308,2888329
Georgia,2013,M12,7.3,347269,4730003,4382734
Virginia,2008,M11,4.3,178042,4137943,3959901
Tennessee,2002,M05,4.5,131273,2893362,2762089
Pennsylvania,2003,M06,6.0,372626,6234808,5862182
Alabama,2012,M12,7.2,156518,2172728,2016210
