state,year,period,value,footnotes
Washington,2016,M12,3666401,Reflects revised population controls and model reestimation.
Washington,2016,M11,3671129,Reflects revised population controls and model reestimation.
Washington,2016,M10,3681300,Reflects revised population controls and model reestimation.
Washington,2016,M09,3666453,Reflects revised population controls and model reestimation.
Washington,2016,M08,3658770,Reflects revised population controls and model reestimation.
Washington,2016,M07,3675259,Reflects revised population controls and model reestimation.
Washington,2016,M06,3655602,Reflects revised population controls and model reestimation.
Washington,2016,M05,3625231,Reflects revised population controls and model reestimation.
Washington,2016,M04,3613072,Reflects revised population controls and model reestimation.
Washington,2016,M03,3624428,Reflects revised population controls and model reestimation.
Washington,2016,M02,3608103,Reflects revised population controls and model reestimation.
Washington,2016,M01,3580828,Reflects revised population controls and model reestimation.
Washington,2015,M12,3575366,Reflects revised population controls and model reestimation.
Washington,2015,M11,3563922,Reflects revised population controls and model reestimation.
Washington,2015,M10,3562865,Reflects revised population controls and model reestimation.
Washington,2015,M09,3545691,Reflects revised population controls and model reestimation.
Washington,2015,M08,3547754,Reflects revised population controls and model reestimation.
Washington,2015,M07,3568691,Reflects revised population controls and model reestimation.
Washington,2015,M06,3558147,Reflects revised population controls and model reestimation.
Washington,2015,M05,3545409,Reflects revised population controls and model reestimation.
Washington,2015,M04,3520607,Reflects revised population controls and model reestimation.
Washington,2015,M03,3524104,Reflects revised population controls and model reestimation.
Washington,2015,M02,3524088,Reflects revised population controls and model reestimation.
Washington,2015,M01,3511413,Reflects revised population controls and model reestimation.
Washington,2014,M12,3510333,Reflects revised population controls and model reestimation.
Washington,2014,M11,3515666,Reflects revised population controls and model reestimation.
Washington,2014,M10,3522841,Reflects revised population controls and model reestimation.
Washington,2014,M09,3502381,Reflects revised population controls and model reestimation.
Washington,2014,M08,3502870,Reflects revised population controls and model reestimation.
Washington,2014,M07,3522184,Reflects revised population controls and model reestimation.
Washington,2014,M06,3493360,Reflects revised population controls and model reestimation.
Washington,2014,M05,3472799,Reflects revised population controls and model reestimation.
Washington,2014,M04,3452508,Reflects revised population controls and model reestimation.
Washington,2014,M03,3477011,Reflects revised population controls and model reestimation.
Washington,2014,M02,3467694,Reflects revised population controls and model reestimation.
Washington,2014,M01,3445693,Reflects revised population controls and model reestimation.
Washington,2013,M12,3450281,Reflects revised population controls and model reestimation.
Washington,2013,M11,3456247,Reflects revised population controls and model reestimation.
Washington,2013,M10,3464438,Reflects revised population controls and model reestimation.
Washington,2013,M09,3463960,Reflects revised population controls and model reestimation.
Washington,2013,M08,3467611,Reflects revised population controls and model reestimation.
Washington,2013,M07,3491525,Reflects revised population controls and model reestimation.
Washington,2013,M06,3483843,Reflects revised population controls and model reestimation.
Washington,2013,M05,3459932,Reflects revised population controls and model reestimation.
Washington,2013,M04,3446803,Reflects revised population controls and model reestimation.
Washington,2013,M03,3453116,Reflects revised population controls and model reestimation.
Washington,2013,M02,3457404,Reflects revised population controls and model reestimation.
Washington,2013,M01,3451261,Reflects revised population controls and model reestimation.
Washington,2012,M12,3451211,Reflects revised population controls and model reestimation.
Washington,2012,M11,3452360,Reflects revised population controls and model reestimation.
Washington,2012,M10,3479546,Reflects revised population controls and model reestimation.
Washington,2012,M09,3465887,Reflects revised population controls and model reestimation.
Washington,2012,M08,3466593,Reflects revised population controls and model reestimation.
Washington,2012,M07,3497982,Reflects revised population controls and model reestimation.
Washington,2012,M06,3495013,Reflects revised population controls and model reestimation.
Washington,2012,M05,3477294,Reflects revised population controls and model reestimation.
Washington,2012,M04,3459777,Reflects revised population controls and model reestimation.
Washington,2012,M03,3479429,Reflects revised population controls and model reestimation.
Washington,2012,M02,3476072,Reflects revised population controls and model reestimation.
Washington,2012,M01,3454220,Reflects revised population controls and model reestimation.
Washington,2011,M12,3452679,
Washington,2011,M11,3451815,
Washington,2011,M10,3467602,
Washington,2011,M09,3459828,
Washington,2011,M08,3465034,
Washington,2011,M07,3480001,
Washington,2011,M06,3474431,
Washington,2011,M05,3457433,
Washington,2011,M04,3446853,
Washington,2011,M03,3462275,
Washington,2011,M02,3461174,
Washington,2011,M01,3458007,
Washington,2010,M12,3465942,
Washington,2010,M11,3485054,
Washington,2010,M10,3496906,
Washington,2010,M09,3501703,
Washington,2010,M08,3514797,
Washington,2010,M07,3531665,
Washington,2010,M06,3527416,
Washington,2010,M05,3517225,
Washington,2010,M04,3524629,
Washington,2010,M03,3531360,
Washington,2010,M02,3522418,
Washington,2010,M01,3516790,
Washington,2009,M12,3518357,
Washington,2009,M11,3525606,
Washington,2009,M10,3549369,
Washington,2009,M09,3555553,
Washington,2009,M08,3565648,
Washington,2009,M07,3581844,
Washington,2009,M06,3560592,
Washington,2009,M05,3524785,
Washington,2009,M04,3512984,
Washington,2009,M03,3513817,
Washington,2009,M02,3516914,
Washington,2009,M01,3496935,
Washington,2008,M12,3501430,
Washington,2008,M11,3501337,
Washington,2008,M10,3509314,
